credit_score,monthly_income,existing_debt_payment,loan_amount,employment_years,prior_defaults,dti_ratio,default_status
810,8012,2082,19671,20,0,0.2598602096854718,0
443,2963,1403,32048,11,0,0.4735065811677354,0
500,9151,3808,81274,28,0,0.41612938476669215,0
423,10564,2630,30963,32,0,0.2489587277546384,0
486,13827,1008,48954,14,0,0.07290084617053591,0
625,12733,1234,77309,1,0,0.09691353176784732,0
763,5610,3013,5717,38,0,0.5370766488413548,0
648,11884,2286,16676,17,0,0.19235947492426791,0
702,8894,1095,9434,2,0,0.12311670789296154,0
645,9311,2582,54810,6,0,0.2773064117710235,0
810,2105,2656,99636,17,0,1.2617577197149643,0
446,7539,2420,9994,37,0,0.32099747977185306,0
447,11873,3270,9234,36,0,0.27541480670428703,0
788,14289,3935,74300,32,0,0.2753866610679544,0
637,14208,2251,48949,30,0,0.15843186936936937,0
772,12828,1337,42405,10,0,0.1042251325226068,0
450,8787,1884,39872,3,1,0.21440764766131787,1
714,4137,3835,47215,17,0,0.9270002417210539,0
597,13608,2909,28185,3,0,0.21377131099353322,0
562,6445,2934,48442,33,1,0.4552366175329713,1
443,5530,264,56759,28,0,0.047739602169981916,0
645,3286,1098,46153,23,1,0.33414485696895924,1
301,13371,2667,82535,21,1,0.19946152120260266,1
603,9052,1407,7581,1,0,0.15543526292532037,0
553,5654,2664,56717,5,0,0.4711708524938097,0
752,9102,756,7763,24,0,0.08305866842452209,0
336,4359,2760,97910,20,0,0.6331727460426704,1
459,10105,2311,60480,15,0,0.22869866402770905,0
308,10636,2009,43759,30,0,0.18888679954870252,1
532,8441,3830,81067,13,0,0.4537377088022746,0
398,7047,2146,30307,38,0,0.3045267489711934,0
507,10227,2211,16064,27,0,0.2161924317981813,0
430,7203,3262,81848,31,0,0.45286686103012636,0
703,11667,1240,42548,27,0,0.10628267763778178,0
451,14149,1989,41945,8,0,0.14057530567531273,0
353,3798,366,52937,21,1,0.09636650868878358,1
419,12037,1945,11476,31,1,0.16158511256957714,1
719,11600,1808,56756,4,0,0.15586206896551724,0
721,7291,3730,95101,22,0,0.5115896310519819,0
403,7495,3311,7382,4,0,0.4417611741160774,0
553,11900,2393,54683,31,0,0.20109243697478993,0
526,13130,3832,92999,9,0,0.29185072353389185,0
411,8284,3929,50276,38,0,0.47428778367938196,0
809,9285,2542,38402,14,1,0.2737749057619817,0
772,3300,1610,96881,6,0,0.48787878787878786,0
398,8869,575,31946,28,0,0.0648325628593979,0
452,11435,3688,84698,2,0,0.3225185832968955,0
637,14168,1076,78933,18,0,0.07594579333709768,0
462,5097,1307,27335,9,0,0.25642534824406515,0
460,6616,1143,50095,27,0,0.17276299879081017,0
697,2009,2060,84930,28,0,1.0253857640617223,0
576,12617,657,32197,14,0,0.052072600459697235,0
803,7752,1117,27010,34,0,0.14409184726522187,0
691,11852,3695,29123,5,0,0.3117617279784003,0
434,12823,1705,92923,11,0,0.13296420494424083,0
494,8295,3700,7890,37,0,0.4460518384569018,0
700,6815,982,98305,12,0,0.14409391049156273,0
332,3072,2294,13026,28,0,0.7467447916666666,1
759,5225,765,69925,18,0,0.14641148325358852,0
769,3316,3475,73842,2,0,1.0479493365500603,0
674,7699,2767,38665,7,0,0.3593973243278348,0
321,14337,1871,14277,7,0,0.1305014996163772,1
337,8807,2967,47239,19,0,0.33689110934483935,1
529,8674,963,52664,3,1,0.11102144339405119,1
664,5683,681,53008,20,0,0.11983107513637163,0
737,9227,3170,19683,2,0,0.3435569524222391,0
582,5273,794,5670,7,0,0.15057841835767116,0
326,9000,3933,94211,22,0,0.437,1
525,2145,1351,22889,15,0,0.6298368298368299,0
576,7010,3273,60612,12,1,0.466904422253923,1
583,5040,1710,49535,2,0,0.3392857142857143,0
780,11654,3588,83542,8,0,0.3078771237343401,0
752,14868,1339,59319,13,1,0.09005918751681463,0
815,11776,2554,97067,12,1,0.21688179347826086,0
846,2482,498,26639,6,0,0.20064464141821112,0
491,5179,2046,69712,14,0,0.3950569608032439,0
348,3249,814,21633,6,0,0.2505386272699292,1
811,14960,803,39660,37,0,0.05367647058823529,0
316,2630,2908,73975,33,0,1.105703422053232,1
471,10853,2646,37172,21,0,0.24380355662028932,0
519,13695,3925,64197,23,0,0.28660094925155166,0
457,4852,3636,63847,36,0,0.7493816982687551,0
776,12658,1814,16577,0,0,0.143308579554432,0
345,2987,2072,82299,9,0,0.6936725811851356,1
672,9622,3121,25176,15,0,0.3243608397422573,0
817,9327,3902,49386,7,0,0.4183553125335049,0
398,11738,181,68972,24,0,0.01542000340773556,0
336,10841,703,94791,11,0,0.06484641638225255,1
579,11160,2070,46003,24,0,0.18548387096774194,0
648,12829,1810,24996,16,0,0.14108660067035622,0
796,3100,2146,91598,25,0,0.692258064516129,0
601,8652,3922,40931,13,0,0.4533055940822931,0
480,10632,2919,40710,35,0,0.27454853273137697,0
398,9421,1002,39693,22,0,0.10635813607897251,0
415,7016,464,40740,5,0,0.0661345496009122,0
490,2769,262,82241,4,0,0.09461899602744674,0
552,3343,3219,98583,24,0,0.9629075680526473,0
460,6358,2658,81502,17,0,0.4180559924504561,0
555,13921,3500,22374,12,1,0.251418719919546,1
622,14098,1963,81674,13,0,0.13923960845510003,0
427,11769,215,86471,27,0,0.018268332058798537,0
317,8780,3088,50913,17,0,0.35170842824601367,1
622,14200,2484,71025,27,0,0.17492957746478874,0
587,8602,980,49516,26,1,0.11392699372239014,1
454,13543,2884,92796,31,0,0.21295134017573655,0
789,14987,939,31069,8,0,0.06265430039367452,0
685,4349,2294,61233,39,0,0.5274775810531157,0
403,13794,3746,89811,31,0,0.27156734812237204,0
692,7699,3977,64049,19,0,0.5165605922847123,0
545,3241,1446,44178,27,0,0.4461585930268436,0
475,3125,2590,37821,32,0,0.8288,0
338,12793,2984,56727,3,0,0.23325255999374658,1
776,11382,1136,65935,33,1,0.09980671235283782,0
837,8764,1042,21999,2,1,0.11889548151528982,0
707,7101,3665,67522,25,0,0.51612448950852,0
824,14323,1824,43712,7,0,0.12734762270474062,0
805,14640,2434,69551,5,0,0.1662568306010929,0
335,9843,2867,45172,15,0,0.29127298587828915,1
319,2072,1237,38722,23,0,0.597007722007722,1
620,7472,2627,15625,38,0,0.3515792291220557,0
811,12106,121,72165,29,0,0.00999504377994383,0
699,7189,3520,81509,12,0,0.4896369453331479,0
770,4472,1849,11859,4,0,0.41346153846153844,0
442,13238,782,46609,24,1,0.05907236742710379,1
391,2707,3737,48307,19,1,1.3804950129294422,1
653,3804,3053,26839,17,0,0.8025762355415352,0
350,8704,1933,32216,17,0,0.22208180147058823,1
489,5713,2467,57953,1,1,0.4318221599859968,1
424,7051,225,89481,9,1,0.03191036732378386,1
449,12756,376,65593,11,0,0.02947632486672938,0
613,4475,2099,77075,12,0,0.46905027932960897,0
641,5610,1327,54522,10,0,0.23654188948306595,0
604,6255,2341,9886,18,0,0.3742605915267786,0
353,13015,3852,12485,34,0,0.2959661928543988,1
743,9397,3835,36455,38,0,0.40810897094817494,0
563,3735,3718,21767,25,1,0.9954484605087015,1
352,11777,795,33453,13,0,0.06750445784155558,1
304,10258,1409,81280,23,0,0.13735620978748295,1
402,13253,156,58442,0,0,0.011770919791745266,0
495,9979,3905,56877,21,0,0.391321775729031,0
649,4428,3474,17226,22,0,0.7845528455284553,0
346,14345,3334,98405,18,0,0.23241547577553154,1
568,9426,118,27588,17,0,0.012518565669424995,0
669,10533,3541,83976,11,0,0.3361815247317953,0
405,7249,2411,36709,27,0,0.33259759966891983,0
419,12966,2941,52788,27,0,0.2268240012339966,0
357,7291,212,93031,32,0,0.029076944177753396,0
645,4817,3659,42019,18,0,0.7596014116670127,0
773,12853,3498,49948,27,0,0.2721543608496071,0
416,11424,641,70133,36,0,0.05610994397759104,0
426,5874,2794,71458,25,0,0.4756554307116105,0
692,12593,678,32526,34,0,0.05383943460652744,0
357,11686,1188,78493,33,0,0.10166010610987507,1
812,6211,3463,57198,34,0,0.5575591692159073,0
395,2661,124,48395,39,0,0.04659902292371289,0
417,14075,1672,29031,15,0,0.11879218472468916,0
787,13811,2148,80542,37,0,0.15552820215770038,0
536,12060,3058,42701,12,0,0.25356550580431175,0
571,12526,1672,30939,22,0,0.13348235669806802,0
488,5374,240,54145,21,0,0.0446594715295869,0
746,11208,1867,25324,15,0,0.16657744468236974,0
546,14598,747,27867,27,0,0.051171393341553635,0
375,2207,2335,5203,34,0,1.0579972813774354,1
453,4665,3299,21544,7,0,0.7071811361200429,0
734,4493,300,20899,21,0,0.0667705319385711,0
385,8813,3298,34063,20,0,0.37421990241688413,1
584,2632,356,95880,25,0,0.135258358662614,0
519,12294,3847,8748,39,0,0.3129168700178949,0
368,13151,646,71629,20,0,0.049121739791650826,0
346,5083,2341,85764,24,0,0.46055479047806414,1
393,14944,2850,25884,0,0,0.1907119914346895,0
752,12123,3275,30183,5,0,0.27014765322114986,0
503,5719,3706,86570,22,0,0.648015387305473,0
517,9123,3436,76246,22,0,0.3766304943549271,0
773,12754,901,24259,22,0,0.07064450368511839,0
731,3679,1041,40959,31,0,0.2829573253601522,0
640,2236,3555,38457,29,0,1.5898926654740608,0
588,9446,3431,90679,12,0,0.36322252805420285,0
553,6443,513,7103,17,0,0.07962129442806146,0
656,8770,2114,70901,22,0,0.2410490307867731,0
322,14917,1481,49535,14,0,0.09928269759334987,1
821,11732,1198,21103,32,0,0.10211387657688374,0
399,8099,3526,95012,20,0,0.43536239041857017,0
479,14135,3755,83278,38,0,0.26565263530244076,0
522,10555,3942,17391,22,0,0.3734722880151587,0
741,4368,1009,33901,26,0,0.2309981684981685,0
624,2285,287,86159,17,0,0.12560175054704595,0
815,2148,3856,72914,23,0,1.7951582867783986,0
315,6037,2115,55357,39,0,0.35033957263541493,1
635,8549,1413,91908,6,0,0.16528248918002106,0
557,9121,2192,43437,19,1,0.24032452581953734,1
796,14743,3744,40503,26,1,0.25395102760632166,0
459,11958,2230,98459,5,0,0.18648603445392206,0
774,6895,1246,80403,26,0,0.18071065989847715,0
679,7280,457,46258,8,0,0.06277472527472527,0
844,3012,1651,38724,30,0,0.548140770252324,0
726,13023,1189,69286,20,0,0.09130000767872226,0
567,12699,3083,79842,25,0,0.24277502165524845,0
716,11715,1780,19908,39,0,0.15194195475885616,0
467,4785,2522,97617,12,0,0.5270637408568443,0
342,12748,261,55626,22,0,0.020473799811735173,1
584,5725,3917,42228,19,0,0.6841921397379913,0
696,6576,3551,28386,36,0,0.5399939172749392,0
311,7782,3827,51754,27,0,0.4917758930866101,1
601,8257,3529,33302,16,0,0.4273949376286787,0
552,11793,3359,65815,27,0,0.2848299838887476,0
798,4408,2469,89748,1,0,0.5601179673321234,0
334,2340,549,68344,24,1,0.23461538461538461,1
389,4817,1597,40618,5,1,0.33153414988582103,1
717,4496,1136,81234,10,0,0.2526690391459075,0
414,7962,2331,66114,37,0,0.2927656367746797,0
495,7299,2258,75130,5,0,0.30935744622551037,0
800,11917,2050,30525,10,0,0.17202316019132333,0
792,9574,2655,84818,13,1,0.2773135575517025,0
374,3689,1413,19334,1,0,0.3830306316074817,1
712,5267,2442,99715,39,0,0.46364154167457755,0
675,6406,3622,67767,2,0,0.5654074305338745,0
719,10453,3051,11644,34,0,0.29187792978092414,0
576,3442,1338,37933,32,0,0.38872748402091806,0
693,10597,1073,48469,23,0,0.10125507219024252,0
756,12382,731,38687,18,0,0.05903731222742691,0
491,6437,1690,57656,17,0,0.2625446636631971,0
398,7435,1150,22375,23,0,0.1546738399462004,0
847,10435,3801,70206,34,0,0.3642549113560134,0
395,14777,2880,41607,0,1,0.19489747580699737,1
489,6107,3402,88178,35,0,0.5570656623546749,0
336,2560,1688,28993,24,0,0.659375,1
668,14329,3978,49386,33,0,0.27761881499057856,0
824,12917,2468,51287,24,0,0.19106603700549663,0
578,10785,3060,91724,15,0,0.28372739916550765,0
516,7548,3404,98308,33,0,0.45098039215686275,0
572,3826,1793,81312,28,0,0.46863565081024566,0
361,13421,536,80324,18,0,0.03993741151926086,0
641,13479,2928,76196,22,0,0.21722679724015134,0
696,14265,1656,75014,18,0,0.11608832807570978,0
318,9629,3574,13210,24,0,0.37117042268148304,1
476,10325,1176,15922,15,0,0.11389830508474576,0
695,5138,3958,41289,8,0,0.7703386531724407,0
744,14111,3484,38340,0,1,0.24689958188647154,1
532,9693,1404,44850,18,0,0.14484679665738162,0
375,10264,2873,61984,32,0,0.2799103663289166,1
564,14686,2178,89178,33,0,0.14830450769440284,0
754,9842,2484,16094,15,0,0.2523877260719366,0
683,8721,282,92959,39,0,0.03233574131406949,0
805,9002,3194,38418,17,0,0.35481004221284157,0
666,6225,2691,10741,33,0,0.432289156626506,0
443,4978,1569,77374,24,0,0.31518682201687426,0
368,9373,3245,73798,5,0,0.34620719086738505,1
398,7907,3181,75532,20,0,0.4023017579360061,0
695,8097,3655,27164,5,0,0.4514017537359516,0
324,14553,1579,40595,31,0,0.10849996564282278,1
768,7656,1689,35257,38,1,0.22061128526645768,0
783,12177,1687,19211,30,0,0.1385398702471873,0
450,10984,759,10232,9,0,0.06910050983248361,0
443,6259,259,72753,29,0,0.04138041220642275,0
338,10286,3185,57691,17,0,0.30964417655065135,1
408,7901,3349,94765,23,0,0.42387039615238575,0
341,11325,2559,84768,8,0,0.22596026490066226,1
485,6917,1111,30613,30,0,0.16061876536070552,0
697,10429,152,19026,14,0,0.01457474350369163,0
522,13138,2555,58535,3,0,0.19447404475567057,0
432,4530,2994,99090,39,0,0.6609271523178808,0
462,3960,1145,35908,8,0,0.28914141414141414,0
514,9045,1153,57113,8,0,0.12747374239911555,0
534,3048,2850,24610,25,0,0.9350393700787402,0
308,7772,2407,51646,3,0,0.30970149253731344,1
373,4529,1328,68185,16,0,0.29322146169132257,1
791,4964,3230,77567,15,1,0.6506849315068494,0
552,9137,1594,52574,14,0,0.17445551056145342,0
529,2963,2923,96051,34,0,0.9865001687478907,0
818,2536,1589,41182,4,0,0.626577287066246,0
473,9340,1135,5570,4,0,0.1215203426124197,0
467,9179,3802,24288,19,0,0.41420634055997385,0
469,9967,2050,83824,14,0,0.2056787398414769,0
692,14415,3461,34877,17,0,0.24009712105445716,0
493,13871,949,89425,1,0,0.06841611996251172,0
816,14379,3931,5917,28,0,0.27338479727380205,0
328,13916,453,80602,12,0,0.03255245760275941,1
464,10734,3810,69575,3,1,0.35494689770821686,1
721,2845,1198,77518,9,0,0.4210896309314587,0
638,13795,3020,44104,30,0,0.21891989851395433,0
795,7777,1839,23062,7,0,0.23646650379323647,0
664,5036,3732,21999,2,0,0.7410643367752184,0
641,7947,3762,66845,8,0,0.4733861834654587,0
799,4494,1564,14941,29,0,0.34801958166444147,0
810,14677,1090,66169,10,1,0.07426585814539756,0
626,4719,1364,28470,34,0,0.289044289044289,0
516,3884,3165,64821,36,0,0.8148815653964985,0
600,14330,1984,91669,12,0,0.13845080251221215,0
431,6349,3325,49435,35,0,0.523704520396913,0
369,13393,1909,9529,12,0,0.14253714627043979,0
551,7179,3267,88055,11,0,0.45507730881738406,0
714,12902,3897,17192,36,0,0.3020461943884669,0
744,8610,2441,79102,9,0,0.2835075493612079,0
481,8430,2356,77762,8,0,0.2794780545670225,0
466,9154,3514,91795,6,1,0.3838759012453572,1
390,12145,1211,39087,1,0,0.09971181556195965,0
830,8488,917,71677,22,0,0.1080348727615457,0
338,6737,1899,9627,38,0,0.28187620602642127,1
425,8525,2060,61541,39,0,0.24164222873900293,0
750,5850,2537,73226,38,0,0.43367521367521367,0
472,2689,2472,8255,20,0,0.9193008553365564,0
519,12142,3087,62433,22,0,0.25424147586888485,0
357,7175,988,10213,28,0,0.13770034843205575,1
775,10648,1955,24404,13,0,0.18360255447032306,0
755,7078,1280,30380,25,0,0.18084204577564283,0
660,12322,767,96056,4,0,0.06224638857328356,0
300,14168,3822,24173,30,0,0.26976284584980237,1
686,14436,732,58027,24,0,0.05070656691604322,0
647,7448,2724,28989,30,1,0.3657357679914071,1
489,3179,1742,29519,19,0,0.5479710600817868,0
804,14477,3830,27439,16,0,0.26455757408302827,0
490,13757,236,81949,1,0,0.017154902958493857,0
807,11074,2046,19995,24,0,0.18475708867617843,0
668,8406,1797,28559,12,0,0.21377587437544612,0
708,10591,527,94049,38,0,0.04975922953451043,0
416,8907,1575,10021,27,1,0.17682721455035366,1
433,10800,2759,26119,5,0,0.25546296296296295,0
357,3638,3058,56539,2,0,0.840571742715778,1
472,7671,918,99835,34,0,0.11967149002737583,0
448,8928,2288,44350,17,0,0.25627240143369173,0
379,12340,1206,51223,10,0,0.09773095623987034,0
512,3382,2324,30517,19,0,0.6871673565937315,0
502,3403,297,83653,4,0,0.08727593300029386,0
528,11011,2771,27250,18,0,0.2516574334756153,0
526,5292,3739,89486,21,0,0.7065381708238851,0
831,11011,2095,87895,18,0,0.19026428117337207,0
740,2419,2838,94132,15,1,1.173212071103762,1
701,14411,3592,96066,23,0,0.24925404205121088,0
346,6517,2548,71798,3,0,0.39097744360902253,1
532,5302,3869,59199,14,0,0.7297246322142588,0
604,9857,570,64546,24,0,0.057826925027898955,0
825,11700,2365,93151,34,1,0.20213675213675214,0
442,9870,2048,8327,13,0,0.20749746707193514,0
714,7693,1028,34768,18,0,0.1336279734823866,0
812,2767,3999,69418,37,0,1.4452475605348754,0
672,4044,2110,99386,35,0,0.5217606330365975,0
558,12331,3900,47788,6,0,0.31627605222609684,0
770,13221,2779,87384,29,0,0.2101959004613872,0
311,3549,3098,51830,18,1,0.8729219498450268,1
629,11956,1005,57446,24,1,0.08405821344931415,1
657,8140,2322,20160,15,0,0.28525798525798524,0
707,12837,122,61583,39,0,0.009503778141310275,0
672,5716,3896,38998,7,0,0.6815955213435969,0
307,14797,334,32230,17,0,0.022572143001959855,1
421,6481,3184,14076,27,0,0.4912822095355655,0
647,9898,1224,74341,15,0,0.12366134572640937,0
389,8548,1028,36085,18,0,0.12026204960224614,0
615,4293,3707,60571,16,0,0.8634987188446308,0
477,6837,622,19715,12,0,0.09097557408219979,0
839,9758,1908,10750,6,1,0.1955318712850994,0
340,12900,3623,83768,26,1,0.2808527131782946,1
801,8793,530,40903,9,0,0.060275218924144204,0
444,9638,892,77489,33,0,0.0925503216434945,0
500,9993,1729,37093,35,1,0.17302111478034624,1
760,8007,1836,96036,24,0,0.22929936305732485,0
846,7542,632,92954,5,0,0.08379740121983559,0
552,11092,3126,39314,23,0,0.28182473855030654,0
689,13276,1846,53225,17,0,0.13904790599578187,0
555,8356,1775,92985,22,0,0.21242221158449018,0
749,12201,1416,88014,5,0,0.11605606097860831,0
309,10433,2957,40179,28,0,0.28342758554586406,1
541,9380,1012,30338,24,0,0.10788912579957356,0
550,4385,1224,97435,16,1,0.27913340935005704,1
304,6268,1625,74681,23,0,0.2592533503509892,1
418,2671,1427,37101,10,0,0.5342568326469487,0
673,2163,3018,7775,25,0,1.3952843273231623,0
364,10656,2687,50619,33,0,0.2521584084084084,1
445,13234,1123,50838,27,0,0.08485718603596797,0
523,6592,1676,24539,2,1,0.254247572815534,1
